title,company,salary,total_cities,cities,date,description
Desenvolvedor Python Sênior,Empresa Confidencial,,1,['São Paulo - SP (1)'],06/12,Responsabilidades: ? Evolução: realizar desenvolvimento de novas funcionalidades do backend qualificado sempre um código e organizado ? APIs: responsável por desenvolver e…
Desenvolvedor Backend Python,Mazzatech Serviços e Consultoria em Informática,,1,['São Paulo - SP (1)'],29/11,Empresa com foco em Fast Food esta em busca de um profissional com experiência em desenvolvimento de sistemas utilizando .Net e Python. Conhecimentos de GCP (Google Cloud…
Python Software Developer,Empresa Confidencial,,1,['São Paulo - SP (1)'],11/11,"Atuar com desenvolvimento Full Stack e APIs, desenvolvimento de aplicações e arquiteturas, padrão RESTful, webservices, aplicações responsivas, APIs, RESTS e integrações de…"
Back-end Python Developer,J. de Paula Fioravante - Software,,1,['Ribeirão Preto - SP (1)'],08/11,"Programação de Software, sustentação, manutenção e correções de bug do sistema. Experiência com: Python 3.1 ou superior. Desenvolvimento de API RESTful. Desejável: Arquitetura de…"
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Belo Horizonte - MG (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Fortaleza - CE (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Curitiba - PR (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Rio de Janeiro - RJ (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Engineer - Remote,Oowlish Technology Eireli,,1,['Salvador - BA (1)'],08/11,Procuramos um engenheiro Python experiente com experiência prática em muitas facetas técnicas do campo de desenvolvimento da Web. Deve ter Amplo conhecimento em…
Python Developer Sr,Empresa Confidencial,,1,['São Paulo - SP (1)'],05/11,What is SR Python developer? Senior Python Developer responsibilities include participating in all phases of the software development lifecycle and coaching junior developers. If…
Desenvolvedor Python - Pleno,Empresa Confidencial,,1,['Aracaju - SE (1)'],17/12,Descrição da vaga: No seu dia a dia irá trabalhar com desenvolvimento de funcionalidades para serviços voltados para o mercado financeiro. Com o apoio de outros membros do…
Python Developer - PL,Empresa Confidencial,,1,['Porto Alegre - RS (1)'],19/11,"Vaga 100% Home Office (Aceitamos candidatos de todo o Brasil). Inglês avançado ou fluente, falado e escrito Competências gerais: Comunicar-se de forma eficaz e transmitir…"
Desenvolvedor(a) Python Sênior,Sample Med Serviços Médicos S/S Ltda.,,1,['São Paulo - SP (1)'],03/11,"A Samplemed é especialista em inovação tecnológica para o mercado de subscrição de riscos para seguros de pessoas, garantindo a seguradoras e resseguradoras velocidade…"
Desenvolvedor Python Sênior,SKYONE CLOUD SOLUTIONS,,1,['São Paulo - SP (1)'],13/12,Participar da organização do backlog das atividades para sprint. Pontuar as atividades para mensurar tempo de entrega. Participar do planejamento dos sprints quinzenalmente junto…
Programador Python e React,Empresa Confidencial,,1,['São José do Rio Preto - SP (1)'],03/11,Programação na linguagem PYTHON. Ensino Superior em Tecnologia da Informação.
Analista de desenvolvimento Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],01/12,Atuar nas atividades de desenvolvimento de produto. Pesquisa / Analise / Programação / Teste técnicos de produtos e soluções para atender demandas de clientes e de novos mercados…
Desenvolvedor Python Pleno,Capitani IT Solutions e Informática Ltda.,,1,['São Paulo - SP (1)'],09/11,Desenvolvimento de api?s REST. Atuar com Python 3. Flask. Conhecimentos com bancos de dados(Desejável Postgres). Conhecimentos em design e arquitetura de software. Metodologias…
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['São Paulo - SP (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Belo Horizonte - MG (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Brasilia - DF (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Rio de Janeiro - RJ (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Desenvolvedor(A) Python - Pleno(A),Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Florianópolis - SC (1)'],03/11,"Procuramos desenvolvedores(as) Python para atuar com integração de dados. Tecnicamente espera-se flexibilidade em consumir e manipular dados de fontes diversas: APIs, banco de…"
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Vitoria - ES (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Desenvolvedor Full Stack Python,Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Florianópolis - SC (1)'],03/11,Procuramos um(a) Desenvolvedor(a) Full Stack (back-end Python) com bom nível de autonomia para criação e desenvolvimento de páginas e sistemas para web. A pessoa terá horário…
Programador Python - Pleno,R&D DISTRIBUIDORA TRUSS,4500.0,1,['Barueri - SP (1)'],11/11,"Realizar manutenção dos sistemas, correções, visando atender a necessidade dos usuários. Desenvolver montagem, depuração e testes de programas, Ter experiências anteriores com…"
Desenvolvedor Python - Remoto,Infobase Consultoria e Informática Ltda.,,6,"['Rio de Janeiro - RJ (3)', 'São Paulo - SP (3)']",22/11,"Infobase é uma das empresas de consultoria que mais cresce hoje no Brasil, tendo ganho inúmeros prêmios, incluindo o de melhor integradora e consultoria de TI pela informática…"
Desenvolvedor Python/Django,Join Tecnologia da Informática Ltda. ME,,1,['Porto Alegre - RS (1)'],04/11,"Realizar implementação dos códigos fontes de artefatos de implementação (classes, pacotes, builds, componentes, serviços, aplicações, scripts de bancos de dados) de acordo com os…"
Desenvolvedor Python/Javascript,Empresa Confidencial,,1,['Barueri - SP (1)'],25/11,"Atuar com Python/Javascript; Ferramentas de dados (AWS Aurora, PostgreSQL, Mongo DB); Nuvem (AWS); Bitbucked/Git; Jira; Conhecimento em IDE?s de desenvolvimento; Responsável pela…"
Tech Lead Python,SKYONE CLOUD SOLUTIONS,17500.0,1,['São Paulo - SP (1)'],10/12,"Trabalhar em grupo, em uma ""squad"" de desenvolvimento. Conhecer e seguir o processo de desenvolvimento de software. Conversar regularmente com o coordenador e com o…"
Desenvolvedor(A) Python - Pleno(A),Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Brasilia - DF (1)'],03/11,"Procuramos desenvolvedores(as) Python para atuar com integração de dados. Tecnicamente espera-se flexibilidade em consumir e manipular dados de fontes diversas: APIs, banco de…"
Desenvolvedor(A) Python - Pleno(A),Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Belo Horizonte - MG (1)'],03/11,"Procuramos desenvolvedores(as) Python para atuar com integração de dados. Tecnicamente espera-se flexibilidade em consumir e manipular dados de fontes diversas: APIs, banco de…"
Desenvolvedor(A) Python - Pleno(A),Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Vitoria - ES (1)'],03/11,"Procuramos desenvolvedores(as) Python para atuar com integração de dados. Tecnicamente espera-se flexibilidade em consumir e manipular dados de fontes diversas: APIs, banco de…"
Desenvolvedor(A) Python - Pleno(A),Visie Padrões Web e Treinamento de Tecnologia Ltda,,1,['Rio de Janeiro - RJ (1)'],03/11,"Procuramos desenvolvedores(as) Python para atuar com integração de dados. Tecnicamente espera-se flexibilidade em consumir e manipular dados de fontes diversas: APIs, banco de…"
Python Developer Sênior,Dun & Bradstreet do Brasil Ltda,,1,['São Paulo - SP (1)'],23/11,CIAL Dun & Bradstreet (cialdnb.com) is part of Dun & Bradstreet?s worldwide network (dnb.com).? CIAL Dun & Bradstreet operates in over 40 countries in Latin America. Our SaaS…
Tech Lead Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],11/11,"Atuar com tecnologia de recuperação e raspagem de dados, preferencialmente em larga. Experiência em liderança de engenharia e gestão de pessoas. Experiência na função."
Analista Desenvolvedor Python Pleno,THE COFFEE,,1,['Curitiba - PR (1)'],07/12,"Como Analista Desenvolvedor Python Pleno/Sênior, você ajudará nossos clientes desenvolvendo melhorias e novas funcionalidades em nossos sistema de ERP chamado Odoo, visando…"
Analista Sênior de Python e Django,FULL TIME SOLUÇÕES EM ATIVOS,12500.0,1,['São Paulo - SP (1)'],16/12,Experiência na função. Planejar e implementar soluções para projetos escritos em Django. Participação na Daily para acompanhamento do projeto. Manter a qualidade do código e…
ANALISTA DE IMPLANTAÇÃO E SUPORTE (Python),Empresa Confidencial,,1,['Timbo - SC (1)'],09/12,"Será responsável pela implantação e manutenção de software, além de prestar apoio a clientes e às áreas internas da empresa. Participa na documentação de rotina e acompanha o…"
Desenvolvedor Python Senior Back-end,Empresa Confidencial,,1,['São Paulo - SP (1)'],08/12,"Requisitos: - Python e seus frameworks como Django, Flask, FastAPI e afins - Bancos de dados relacionais como Postgres, Mysql, etc - Git - Docker - TDD e conhecimento de…"
Desenvolvedor Python Pleno Back-end,Empresa Confidencial,,1,['São Paulo - SP (1)'],08/12,"Requisitos: - Python e seus frameworks como Django, Flask, FastAPI e afins - Bancos de dados relacionais como Postgres, Mysql, etc - Git - Docker - TDD e conhecimento de…"
Desenvolvedor Back End - Django/Python,Empresa Confidencial,,1,['São Paulo - SP (1)'],24/11,"Procuramos por desenvolvedor backend Django/Python Objetivo: Desenvolvimento e manutenção de sites de conteúdo e aplicações web focadas em páginas de conteúdo, sistemas…"
Desenvolvedor Back-end Python Sênior,PRESTCON,,2,['Rio de Janeiro - RJ (2)'],09/11,"Desenvolvimento e manutenção de sistemas com a linguagem Python em Back-end. Python; React JS; Inglês fluente. Experiência no design, construção e consumo de APIs REST; Modelagem…"
Analista Programador(a) Python – Sênior,Empresa Confidencial,,1,['São Paulo - SP (1)'],13/07,"Desenvolvimento em Python, Java, ETL Talend, MySQL, AWS Redshift e AWS Aurora. Experiência em desenvolvimento em Python, Java, ETL Talend, MySQL, AWS Redshift e AWS Aurora…"
Analista de Pesquisa - Desenvolvedor Python,MERQUEO COMÉRCIO VAREJISTA,5500.0,1,['São Paulo - SP (1)'],10/12,Projetar e criar ferramentas básicas temporárias. Suportar modelos estatísticos e otimizações para novas ferramentas ou ferramentas existentes. Projetar visualizações e consultas…
Analista Programador(a) Python - Júnior,Empresa Confidencial,,1,['São Paulo - SP (1)'],19/11,"Análise funcional e manipulação de grandes volumes de dados. Conhecimentos em linguagens de programação: Java, Python, PL/SQL e VB. Banco de dados: SQL Server Vivência no…"
Desenvolvedor Full Stack (Python+React),All-Easy Consultoria em Informática Ltda,,1,['São Paulo - SP (1)'],22/11,Estimar a execução de tarefas de desenvolvimento por meio de análise dos requisitos de negócio solicitados (funcionais e não funcionais). Implementar os requisitos de negócio…
Tech Lead Python Django,Empresa Confidencial,,1,['São Paulo - SP (1)'],16/11,"Atuar com Phyton, Django/Flask, Javascript, PostgreSQL, Firebase, AWS. Experiência como back end utilizando Python Django ou Flask."
Estágio na área de Programação Python com Django,IBANG ,,1,['São Paulo - SP (1)'],09/08,"Atuar com programação Web com programa Python com Django, IIS, HTML5, ccs5, SQL, e banco de dados Mysql. Conhecimento de Inglês fluente. Conhecimento de Inglês fluente. Ensino…"
Programador Backend Python Sênior,Spread Teleinformática Ltda.,12500.0,1,['São Paulo - SP (1)'],05/11,"Programar e codificar e testar os projetos criados. A manutenção dos sistemas também faz parte das suas tarefas diárias. Conhecimentos em: Python, Docker, Django, Jenkins…"
Analista de Sistemas PHP Python,HITSS DO BRASIL,,1,['São Paulo - SP (1)'],11/11,"Ensino Superior completo; Experiência com desenvolvimento utilizando Perl , php e/ou Python; Conhecimentos em: Protocolo TCP/IP, endereçamento IP. SGDB Mysql ou MariaDB. Acessos…"
Analista de Melhoria Contínua - Programador Python,MERQUEO COMÉRCIO VAREJISTA,,1,['São Paulo - SP (1)'],19/10,"Merqueo é um supermercado online que está revolucionando o varejo da América Latina, com entregas rápidas, preços baixos e grande variedade. Convidamos você a fazer parte desse…"
Desenvolvedor Python Pleno / Sênior,All-Easy Consultoria em Informática Ltda,,1,['São Paulo - SP (1)'],23/11,Estimar a execução de tarefas de desenvolvimento por meio de análise dos requisitos de negócio solicitados (funcionais e não funcionais); Implementar os requisitos de negócio…
Analista de Robótica - Programador Python,MERQUEO COMÉRCIO VAREJISTA,4500.0,1,['São Paulo - SP (1)'],03/11,"Merqueo é um supermercado online que está revolucionando o varejo da América Latina, com entregas rápidas, preços baixos e grande variedade. Convidamos você a fazer parte desse…"
Full Stack Developer With Python,DISYS do Brasil Servicos de Tecnologia Ltda.,,1,['Rio de Janeiro - RJ (1)'],07/12,"Skills Required: C#, Web API, REST API, Web Forms, AngularJS and/or ReactJS with Redux/MobX, Entity Framework or similar, SQL Server,, LINQ, Azure DevOps and Git Agile…"
Desenvolvedor Python – Omni Web,Flex Gestão de Relacionamentos S.A.,,1,['Florianópolis - SC (1)'],22/11,"Analisar a viabilidade de demandas apresentadas pelos usuários a serem implementadas nos programas/sistemas existentes. Pesquisar, analisar e sugerir e contribuir na…"
Engenheiro de Dados - Sênior Python & Spark,SEMANTIX TECNOLOGIA EM SISTEMA DE INFORMACAO S.A.,,1,['São Paulo - SP (1)'],19/11,"Atuar de forma consultiva na Ingestão e tratamento de dados com Python e Spark. Criação de pipelines em real-time e construção de Apis. Necessário Vivência com Hadoop, Python e…"
Back End Python Django JR/ Pleno,Empresa Confidencial,,1,['São Paulo - SP (1)'],03/12,"Atuar com back end utilizando Python Django , sera o futuro Tech Lead. Phyton Django/Flask Javascript, PostgreSQL, Firebase e AWS."
Programador Back-end Python + Django Pleno,FANTASTSOFT SISTEMAS,,1,['Belo Horizonte - MG (1)'],04/11,Desenvolvimento de aplicativo de gerenciamento web back-end Python+Django; Realizar a manutenção e criação de novas funcionalidades; Desenvolver e sustentar integrações; Buscar…
Analista de Desenvolvimento Back-end (Python/ .NET),Cedro Technologies Ltda.,,2,['Uberlândia - MG (2)'],17/12,"Buscamos um(a) Cedrense para auxiliar na implementação de soluções, sugestões de design, desenvolvimento de novas funcionalidades, apoio na sustentação e evolução do nosso…"
Big Data / Python Sênior,FOURSYS,,1,['São Paulo - SP (1)'],30/11,"Proporcionar soluções técnicas eficientes, flexíveis e que atendem ao negócio; Ser uma referência técnica, motivar positivamente o ambiente, auxiliar no momento de realizar…"
